,TweetSentence,annotation,calai_candidates,entry_batch,hashtags,phase1CandidateList,phase1Candidates,ritter_candidates,sentID,stanford_candidates,start_time,tweetID,user
0,"REPORT: FBI Obtained FISA Warrant For Trump Aide, Believed He Was 'Agent Of The Russian Government'",[],,0.0,RussiaGate,[],nan,,0,,2019-01-27 15:38:44.406376,0,JanKimbrough
1,BUSTED....,[],,0.0,nan,[],nan,,0,,2019-01-27 15:38:44.433837,1,zi_cam
2,Carter Page is trending but 3 weeks ago there were no FISA warrants on team Trump.,[],,0.0,nan,"['Carter Page', 'FISA', 'Trump']",Carter Page::*0*1*||FISA::*11*||Trump::*15*||,,0,,2019-01-27 15:38:44.434027,2,sicsemp4ever
3,I love how liberals have a 36 hour memory,[],,0.0,nan,[],,,1,,2019-01-27 15:38:44.434027,2,sicsemp4ever
4,Looks like it might be time for some more tomahawks…,[],,0.0,nan,[],,,0,,2019-01-27 15:38:44.437254,3,raponikoff
5,Sean Spicer on Carter Page:,[],,0.0,nan,[],nan,,0,,2019-01-27 15:38:44.437707,4,MsEntropy
6,"""Carter Page""  @FBI @AdamSchiffCA @MarkWarner @NancyPelosi @HillaryClinton @MSNBC @maddow @washingtonpost",[],,0.0,FISA,['Carter Page'],Carter Page::*0*1*||,,0,,2019-01-27 15:38:44.437935,5,Class_of_78
7,I get stuck on things.,[],,0.0,nan,[],,,0,,2019-01-27 15:38:44.438441,6,cjpfeiff
8,"Tonight's special, Session brought in Carter Page, a foreign agent:",[],,0.0,nan,"['Session', 'Carter Page']",Session::*2*||Carter Page::*5*6*||,,1,,2019-01-27 15:38:44.438441,6,cjpfeiff
9,I guess this explains the interview he gave after Flynn resigned where he blathered incoherently when asked about his contact with Russians,[],,0.0,nan,"['Flynn', 'Russians']",Flynn::*9*||Russians::*21*||,,0,,2019-01-27 15:38:44.440130,7,pignponyrfriend
10,May the media never lose focus,[],,0.0,nan,[],,,0,,2019-01-27 15:38:44.441227,8,itsShonny
11,@CassandraRules Looks like someone else is having a bad day and looks like @LouiseMensch was right!,[],,0.0,nan,['Looks'],Looks::*1*||,,0,,2019-01-27 15:38:44.441715,9,GilesBgiles1974
12,Well well well.,[],,0.0,nan,[],nan,,0,,2019-01-27 15:38:44.442480,10,em_div
13,Guess that Susan Rice nonsense can go away now.,[],,0.0,nan,['Susan Rice'],Susan Rice::*2*3*||,,1,,2019-01-27 15:38:44.442480,10,em_div
14,Still about the leak problem?,[],,0.0,nan,[],,,2,,2019-01-27 15:38:44.442480,10,em_div
15,"@FoxNews @krauthammer ,,Trump's team of foreign policy advisers  Carter Page",[],,0.0,nan,"[""Trump's"", 'Carter Page']",Trump's::*2*||Carter Page::*8*9*||,,0,,2019-01-27 15:38:44.443368,11,Bennythesnitch
