,annotations,candidates_holder,tweet_text,tweetid,tpstanford_candidates,fnstanford_candidates,fpstanford_candidates
0,"['fbi', 'fisa', 'trump', 'russian government']","['fbi', 'trump']","REPORT: FBI Obtained FISA Warrant For Trump Aide, Believed He Was 'Agent Of The Russian Government' ",0,2,2,0
1,[],[],BUSTED.... ,1,0,0,0
2,"['liberals', 'carter page', 'fisa', 'trump']",['carter page'],I love how liberals have a 36 hour memory Carter Page is trending but 3 weeks ago there were no FISA warrants on team Trump. ,2,1,3,0
3,['tomahawks'],[],Looks like it might be time for some more tomahawks… ,3,0,1,0
4,"['sean spicer', 'carter page']","['sean spicer', 'carter page:']",Sean Spicer on Carter Page: ,4,1,1,1
5,['carter page'],[],"""Carter Page""  @FBI @AdamSchiffCA @MarkWarner @NancyPelosi @HillaryClinton @MSNBC @maddow @washingtonpost ",5,0,1,0
6,"['session', 'carter page']",[],"Tonight's special, Session brought in Carter Page, a foreign agent: I get stuck on things. ",6,0,2,0
7,"['flynn', 'russians']",['flynn'],I guess this explains the interview he gave after Flynn resigned where he blathered incoherently when asked about his contact with Russians ,7,1,1,0
8,[],[],May the media never lose focus ,8,0,0,0
9,[],[],@CassandraRules Looks like someone else is having a bad day and looks like @LouiseMensch was right! ,9,0,0,0
10,['susan rice'],['susan rice'],Still about the leak problem? Guess that Susan Rice nonsense can go away now. Well well well. ,10,1,0,0
11,"['trump', 'carter page']",['carter page'],"@FoxNews @krauthammer ,,Trump's team of foreign policy advisers  Carter Page ",11,1,1,0
12,"['carter page', 'trump', 'trump', 'trump tower']","['carter page', 'trump', 'trump', 'trump']",He's one of the most complicit. No wonder Carter Page is the Trump advisor that other Trump staffers deny ever seeing at Trump Tower. ,12,3,1,0
13,"['steele', 'savior']",['steele the savior'],@BrianPaulStuart @realDonaldTrump And now Steele the Savior is going to be proven to be a hack! ,13,0,2,1
14,"['trump', 'carter page']",['carter'],"Who told him to hire him? @chrislhayes Please ask Trump, why he chose Carter Page. ",14,0,2,1
15,"['fbi', 'fisa', 'carter page']","['fbi', 'fisa']",Report: FBI granted FISA warrant to surveil ex-Trump aide Carter Page | TheHill ,15,2,1,0
16,"['fbi', 'fisa', 'trump', 'carter page']","['fbi', 'fisa', 'trump', 'carter page']",The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in a...  by  via @c0nvey ,16,4,0,0
17,"['carter', 'russia', 'fisa', 'trump']",[],Very well explained take on Carter/ Russia/ FISA/ Trump sitch. ,17,0,4,0
18,['maxine waters'],[],Keep On. Esq. Mam. Maxine Waters. ,18,0,1,0
19,"['fbi', 'carter page', 'russia']","['fbi', 'carter page', 'russia']",A warrant was issued to FBI last summer to monitor Carter Page who was acting as an agent of Russia ,19,3,0,0
20,"['fbi', 'fisa', 'trump', 'carter page', 'washington post']","['fbi', 'fisa', 'trump', 'washington post']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post so there was surveillance ,20,4,1,0
21,"['sean', 'hocaust centers', 'carter page']","['hocaust centers', 'carter']","""Sean, say something really fucked up today maybe say Hocaust Centers or something so they don't talk about Carter Page"" ",21,1,2,1
22,[],[],Great ,22,0,0,0
23,"['carter', 'chris hayes', 'carter page', 'fbi', 'fisa']","['chris hayes', ' carter', 'fbi']","Buh bye, Carter. Just reported by Chris Hayes, Carter page was surveilled by FBI via FISA warrant. ",23,2,3,1
24,"['fbi', 'fisa', 'trump', 'carter page']","['fbi', 'fisa', 'trump', 'carter page.']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page. ,24,3,1,1
25,"['fisa', 'us']","['fisa', 'us']",Bar for a FISA warrant targetting US person is knowingly acting as foreign agent in a way that violates This is huge. ,25,2,0,0
26,[],[],Should we tell him he's delusional? Umm. ,26,0,0,0
27,"['carter page', 'sean spicer', 'doj']","['sean spicer', 'doj', 'carter page']","Carter Page Sean Spicer mis-spoke, Libs loved it, yet forget the DOJ still worked all day on indictments ",27,3,0,0
28,"['syria strike', 'carter page']","['carter page', 'syria']",Stay focused The Syria strike was a distraction away from . @mcspocky Looks like Carter Page will be one of the first dominoes to fall. ,28,1,1,1
29,"['fbi', 'fisa', 'carter page', 'russia']","['fbi', 'fisa', 'carter page', 'russia']",FBI secured FISA warrant against Carter Page over concerns he was 'was acting as an agent' of Russia | Raw Story ,29,4,0,0
30,"['fbi', 'fisa', 'trump', 'carter page']","['fbi', 'fisa', 'trump']",The FBI obtained a FISA warrant last year to monitor Trump adviser Carter Page in...  by  via @c0nvey ,30,3,1,0
31,[],[],@seanhannity what about this spy... ,31,0,0,0
32,[],[],Oh you don't say? ,32,0,0,0
33,"['american', 'fisa', 'dems', 'obama', 'fbi', 'trump', 'carter page']","['fbi', 'trump']",'Only  American directly targeted with FISA warrant' by Dems &amp; Obama! @FoxNews @dkrwilliams @oreillyfactor WaPo: FBI wiretapped Trump sorta-adviser Carter Page in 2016. ,33,2,5,0
34,"['carter page', 'carter', 'carter page']",[],get a clue carter page c'mon carter. carter page you dumbass. ,34,0,3,0
35,[],[],Well at least this takes the heat off @PressSec ,35,0,0,0
36,"['carter page', 'manafort']",['carter page'],But Carter Page was Manafort's biz partner so he could have been caught in the surveillance ,36,1,1,0
37,"['wapo', 'carter page']",['wapo'],Most delicious part of the WaPo Carter Page story. ,37,1,1,0
38,"['fbi', 'fisa', 'trump', 'carter page', 'washington post']","['fbi', 'fisa', 'trump', 'washington post']",FBI obtained FISA warrant to monitor former Trump adviser Carter Page - The Washington Post ,38,4,1,0
39,['carter page'],['carter'],"Will he be mysteriously poisoned or accidentally ""fall"" out of a 4th-story window? So what will be the fate of Carter Page? ",39,0,1,1
40,[],[],We now return to or regularly scheduled program. ,40,0,0,0
41,[],[],"Drips become waterfall, part I. ",41,0,0,0
