,annotations,candidates_holder,tweet_text,tweetid
0,['eric allen bell'],"['white people', 'eric allen']",@MarkDice Why I Hate White People - by Eric Allen Bell ,2332
1,[],[],We'll give 12 points to whoever promises us the best trade deal. ,1103
2,[],[],"Amidst the latest gaffe and questionable military tactics, let us not lose sight. ",398
3,[],[],", never apologize for who you are! ",2374
4,[],[],Wow What a performance! ,3054
5,['carter page'],['carter page'],Carter Page has the greatest odds of being tragically crushed beneath a piano at the bottom of a stairwell than anyone in earth right now ,463
6,"['carter page', 'fbi']",['carter page'],****FBI reportedly probed ex-Trump aide Carter Page during campaign****  via @nypost ,96
7,['camila'],['camila'],Camila on the yellow carpet at ,1914
8,"['trump', 'house republicans']","['trump', ""trump don't"", 'house republicans']",", TRUMP DON'T They don't care too much about you. Trump has made it clear and House Republicans have too. ",619
9,['sam clovis'],['sam clovis'],@shaltsch Sam Clovis. ,128
10,[],[],Damn👀😣 ,3004
11,[],[],onairwithryan: just over here trying to keep our  to ourselves during niallhoran at ,1690
12,['americans'],[],All the Americans in my timeline are jealous of  and we tell them that's why we don't go to war anymore ,1460
13,"['trump', 'americans']",[],What the fuck Trump!! How the fuck does this help anyone but rich white americans? ,1016
14,['medicaid'],[],"Domestic violence is a pre condition according to the , along with the huge almost 1 Trillion Medicaid cut, wife beaters paradise 1.) ",600
15,"['carter page', 'fisa', 'trump', 'washington post', 'fbi']","['trump', 'washington post', 'carter page washington post the fbiγçª']",Washington Post FBI obtained FISA warrant to monitor former Trump adviser Carter Page Washington Post The FBIΓÇª ,101
16,[],[],Don't forget what they didn't teach you in public school. were also slaves throughout history. ,2387
17,[],[],The sooner the better.. know your place... ,2141
18,"['carter page', 'trump']",['carter page'],8 Things You Need to Know About the Former Trump Adviser. A Liar. Who Is Carter Page? ,69
19,['nylon'],['nylon mosquito net feet(96'],"v152676 599 8X8 EXTRA LARGE SIZE DOUBLE BED NYLON MOSQUITO NET FEET(96""X96"") WASHABLE ",1556
20,[],[],Miley singing 'We Cant Stop' at . ,1782
21,"['cantando', 'hailee steinfeld', 'starving']",['hailee steinfeld'],"Hailee Steinfeld cantando ""Starving"" no  - 13 de maio. ",1913
22,"['prince', ""let's go crazy""]","['prince', ""let 's go crazy""]","""Let's Go Crazy"" by Prince - covered by @maroon5, live at ",1950
23,[],[],😷😳 Fuck sake man!!! ,2668
24,['pantera'],"['frankie', 'pantera']",Tbh I honestly thought Pantera was going to win this one but oh well... Nice performance by Frankie though ,2829
25,[],[],"Brb, @LiamPayne is at !! ",1892
26,[],[],"When someone asks you what  is, just show them this picture and stare at them in silence ",1089
27,[],[],"That was ridic. Punchfaces galore, y'all. ",2782
28,['flint'],['flint'],Like why does Flint still have no water. There is so many other things to be fighting about. is the worst tag I've ever seen. ,2353
29,['niall'],[],", Niall  【FR:37.7t/m】 ",1860
30,"['usa', 'haim', 'snl']",[],I declare Haim's SNL performance as the unofficial USA entry for ,1341
31,['shashlik rap'],[],retweet if you think I should go to  2018 and do a shashlik rap ,1217
32,[],[],I called it when I woke up this morning ,570
33,['malibu'],['malibu'],"@1027KIISFM @MileyCyrus performing ""Malibu"" live for the first time at  is EVERYTHING! ",1763
34,['twitter'],['twitter'],Ignore it. is a hashtag Twitter pushes to incite hate. ,2493
35,"['carter page', 'fisa', 'fbi']","['carter page', 'snoop', 'fbi']",#NAME? ,368
36,[],[],My pinned tweet is no joke We must Our nation is going backward ppl    saved me. Gross!!! ,565
37,"['carter page', 'fisa']",['carter page'],We just found out about FISA Warrant n Carter Page and this is the best @realDonaldTrump can come up with to distract? ,131
38,"['andrew mccabe', 'donald trump', 'trump', 'rice', 'carter page', 'hrc', 'fbi', 'obama', 'lynch']","['andrew mccabe', 'hrc', 'donald trump', 'carter page']",Carter Page @TheCartelMatt FBI  HRC's Andrew McCabe was secretly working with  Lynch/Obama/Rice to spy on Donald Trump team VIA any means necessary! ,422
