,2nd Iteration Candidates,TweetSentence,annotation,entry_batch,hashtags,phase1Candidates,sentID,stanford_candidates,tweetID,user,completeness,current_minus_entry
0,"['new orleans mother', 'day parade', 'shooting']",New Orleans Mother 's Day Parade shooting .,[],0,RussiaGate,New Orleans Mother::*0*1*2*||Day Parade::*4*5*||,0,[],0,JanKimbrough,True,0
1,"['one', 'people', 'old', 'girl']",One of the people hurt was a 10-year-old girl .,[],0,RussiaGate,10-year-old::*7*||,1,[],0,JanKimbrough,True,0
2,"['hell', 'people']",WHAT THE HELL IS WRONG WITH PEOPLE ?,[],0,RussiaGate,HELL::*2*||WRONG WITH PEOPLE::*4*5*6*||,2,[],0,JanKimbrough,True,0
3,"['going', 'school']",RT @hxranspizza : Going into school tomorrow like #KCA #Vote1DUK,[],0,nan,Going::*3*||KCA #Vote1DUK::*8*9*||,0,[],1,zi_cam,True,0
4,"['may', 'smile', 'pushawardslizquens']",May e just a smile in your heart EILY CountdownBegins #PushAwardsLizQuens,[],0,nan,EILY CountdownBegins #PushAwardsLizQuens::*8*9*10*||,0,[],2,sicsemp4ever,True,0
5,"['club', 'right']",I could so do Thursday Club right now,[],0,nan,Club::*5*||,0,[],3,raponikoff,True,0
6,"['albert nobbs', 'living', 'man', 'work', '19th']",@therealdaftbear Albert Nobbs ( Glenn Close)is a woman living as a man in order to find work in the harsh environment of 19th-century Ireland,[],0,nan,Albert Nobbs::*1*2*||Glenn Close)is::*4*5*||19th-century Ireland::*22*23*||,0,[],4,MsEntropy,False,0
7,"['louis', 'interview', '78 productions limited', 'proudoflouis']","RT @1DAsiaCrew : Louis ' interview with The Sun about his own record label "" 78 Productions Limited "" #ProudOfLouis",[],0,FISA,Louis::*3*||78 Productions Limited::*15*16*17*||ProudOfLouis::*19*||,0,[],5,Class_of_78,False,0
8,"['injured', 'minneapolis', 'shooting', 'vikings']",9 injured in Minneapolis nightclub shooting ; Vikings player among victims :,[],0,nan,Minneapolis::*3*||Vikings::*7*||,0,[],6,cjpfeiff,False,0
9,"['happy', 'new']",So happy moving into my new place on Tuesday !,[],0,nan,,0,[],7,pignponyrfriend,True,0
10,"['happy 10th', 'weeksary', 'sa']",RT @aldenrichards02 : Happy 10th weeksary sa ating lahat !!!,[],0,nan,Happy 10th::*3*4*||,0,[],8,itsShonny,False,0
11,[],#ALDUBOurMissionisLove,[],0,nan,nan,1,[],8,itsShonny,True,0
12,"['kung', 'sa', '18th', 'bday']",#IkawYung tangi kung hiling sa 18th bday ko,[],0,nan,18th::*5*||,0,[],9,GilesBgiles1974,True,0
13,['night'],I drive by that motel almost every night .,[],0,nan,,0,[],10,em_div,True,0
14,['mesashooting'],#MesaShooting,[],0,nan,nan,1,[],10,em_div,False,0
15,"['apple', 'laptop', 'md101ll', 'june', 'full']","Apple MacBook Pro A1278 13.3 "" Laptop - MD101LL/A ( June , 2012 ) - Full read by eBay",[],0,nan,Apple MacBook Pro A1278 13.3::*0*1*2*3*4*||Laptop::*6*||MD101LL::*8*||June::*11*||Full::*16*||,0,[],11,Bennythesnitch,False,0
16,"['tuff culture', 'destiny ep', 'par 042 forthcoming 27th july', 'juno', 'tracklist', 'destiny questions']",Tuff Culture - Destiny EP ( PAR 042 FORTHCOMING 27th JULY VIA JUNO ) Tracklist : Destiny Questions Theres No ...,[],0,nan,Tuff Culture::*0*1*||Destiny EP::*3*4*||PAR 042 FORTHCOMING 27th JULY::*6*7*8*9*10*||JUNO::*12*||Tracklist::*14*||Destiny Questions::*16*17*||,0,[],12,mallsta,False,0
17,"['december', '2015 at 03', '44 pm']","December 23 , 2015 at 03:44 PM #if24 #s8",[],0,nan,December 23::*0*1*||2015 at 03::*3*4*5*||44 PM::*6*7*||,0,[],13,EricJGilbert,False,0
18,"['arkansas', '4th', '25 in ot']",RT @YahooDrSaturday : This is how Arkansas crazily converted 4th and 25 in OT .,[],0,nan,Arkansas::*6*||4th::*9*||25 in OT::*11*12*13*||,0,[],14,berserkbd,False,0
19,[],What a lateral !,[],0,nan,,1,[],14,berserkbd,True,0
20,[],https://t.co/ylALEACWe8,[],0,nan,,2,[],14,berserkbd,True,0
21,['riots on 17th'],Riots on 17th and page for what ?,[],0,nan,Riots on 17th::*0*1*2*||,0,[],15,ngunn7,False,0
22,"['shame on snapchat', 'skype', 'breach']","Shame on SnapChat , Skype for breach",[],0,deray,Shame on SnapChat::*0*1*2*||Skype::*4*||,0,[],16,GaryKGreen,True,0
23,"['linode', 'breach', 'linode']","Linode Resets User Passwords Following Database Breach : Linode , a virtual private server provider , has reset a ...",[],0,nan,Linode::*8*||,0,[],17,jannypie,True,0
24,"['waco', 'shooting', 'officers', 'going', 'meet']",Waco PD was on scene before the shooting started because officers knew the gangs were going to meet .,[],0,nan,Waco PD::*0*1*||,0,[],18,thecircledancer,True,0
25,"['police', 'say']",Police say this prevented more deaths,[],0,nan,,1,[],18,thecircledancer,True,0
26,"['emile harmon', 'latest', 'tweet']",Emile Harmon 's latest tweet .,[],0,trumprussia,Emile Harmon::*0*1*||,0,[],19,funder,False,0
27,"['15 people wounded', 'shooting at miami nightclub']",15 People Wounded After Shooting at Miami Nightclub,[],0,trumprussia,nan,1,[],19,funder,False,0
28,"['join', 'us', 'june', 'paris', 'germany', 'australia']",RT @ehteramkargar : Join us 13 June 2015 for D Grand Gathering in #Paris #Austria #germany #Australia #Iran_Maryam,[],0,nan,Join::*3*||13 June 2015::*5*6*7*||Grand Gathering in #Paris #Austria::*10*11*12*13*14*||Australia #Iran_Maryam::*16*17*||,0,[],20,LSURay,True,0
29,"['filmed', 'really']",RT @markiplier : Filmed something REALLY cool today .,[],0,nan,Filmed::*3*||REALLY::*5*||,0,[],21,Diane_Warren,False,0
30,"['tv', 'show', 'may', 'may']",So tomorrow keep an eye out for a certain TV show that I may or may not be on ;),[],0,nan,TV::*9*||,1,[],21,Diane_Warren,True,0
31,"['liveonkomo at 5', 'new', 'info', 'dc navy', 'shooting', 'seattle']",We're #LiveOnKOMO at 5 with new info out of DC Navy shooting and gunman 's Seattle ties .,[],0,nan,LiveOnKOMO at 5::*1*2*3*||DC Navy::*9*10*||Seattle::*15*||,0,[],22,CaronScott5,False,0
32,['aaron alexis'],@MichelleKOMO digs into Aaron Alexis ' past .,[],0,nan,Aaron Alexis::*3*4*||,1,[],22,CaronScott5,True,0
33,"['happy', 'aldubtrust']",Happy Friday Godbless everyone #ALDUBTrust,[],0,nan,nan,0,[],23,TrumpHaterShirt,True,0
34,"['spc jan 7', 'utc', 'day']","SPC Jan 7 , 2016 0600 UTC Day 1 Convective Outlook https://t.co/B5SPLNnM3e",[],0,nan,SPC Jan 7::*0*1*2*||,0,[],24,christineltroch,False,0
35,"['video', 'son', '13th birthday surprise']",I liked a @YouTube video from @fastelectloud My Son 's 13th Birthday Surprise !!,[],0,nan,Son::*8*||13th Birthday Surprise::*10*11*12*||,0,[],25,racheline_m,False,0
36,['benq gaming monitor rl2455hm'],( BenQ Gaming Monitor RL2455HM ),[],0,nan,BenQ Gaming Monitor RL2455HM::*1*2*3*4*||,1,[],25,racheline_m,False,0
37,"['go', 'back', 'night']",I'ma go back Saturday night .,[],0,nan,,0,[],26,JetlifeMegs,True,0
38,[],https://t.co/YehZxttlQF,[],0,nan,,1,[],26,JetlifeMegs,True,0
39,"['soccer', 'olimpiasatumare', 'vs', 'fcbihor']",Soccer #Livescore : ( ROU-2S2 ) #OlimpiaSatuMare vs #FCBihor : 0-1 .,[],0,hardball,Soccer #Livescore::*0*1*||ROU-2S2::*4*||OlimpiaSatuMare::*6*||FCBihor::*8*||0-1::*10*||,0,[],27,DCjusticeseeker,False,0
40,"['2nd', 'half']",2nd Half Started ...,[],0,hardball,nan,1,[],27,DCjusticeseeker,True,0
41,"['lasd arson', 'explosives detail', 'bomb squad', 'santa monica college', 'shooting']",RT @LASD_News #LASD Arson/Explosives Detail ( Bomb Squad ) on scene assisting at Santa Monica College re : shooting incident @SantaMonicaPD,[],0,nan,LASD Arson::*2*3*||Explosives Detail::*4*5*||Bomb Squad::*7*8*||Santa Monica College::*14*15*16*||,0,[],28,JrgLaw,False,0
42,"['russia', 'pentagon', 'joint staff', 'email', 'breach', '4rdmgybsul']",#Russia believed to be behind #Pentagon 's Joint Staff email breach … pic.twitter.com/4rDMGYbSUl,[],0,nan,Pentagon::*5*||Joint Staff::*7*8*||4rDMGYbSUl::*13*||,0,[],29,blazinbabs67,False,0
43,['xk8 xk8 1997'],"Jaguar : XK8 XK8 1997 jaguar xk 8 no reserve : $ 6,995 .",[],0,_flanders,XK8 XK8 1997::*2*3*4*||,0,[],30,Sparblack1213,False,0
